Role	id	Number	Median	Mean	P10	P20	P25	P30	P40	P60	P70	P75	P80	P90
      Electrical and electronics technicians	3112	10	615.8	651.0	x	x	422.3	498.1	528.5	683.0	736.3	x	x	x
      Engineering technicians	3113	83	666.3	681.0	405.6	488.2	518.1	541.7	591.3	730.2	790.8	822.7	870.0	974.0
      Building and civil engineering technicians	3114	x	528.8	586.4	x	x	x	478.3	507.0	566.5	x	x	x	x
      Quality assurance technicians	3115	30	484.8	524.9	372.7	410.7	422.5	432.5	453.1	506.3	565.9	580.8	617.9	x
      Planning, process and production technicians	3116	32	586.1	616.0	394.2	470.7	489.2	501.7	537.5	622.8	674.3	709.9	756.9	x
      Science, engineering and production technicians n.e.c.	3119	152	496.3	533.7	299.0	358.8	378.8	402.0	452.2	551.5	610.8	637.9	670.2	796.9
    Draughtspersons and related architectural technicians	312	52	537.2	567.3	347.9	446.8	463.7	479.1	517.5	579.7	621.3	651.6	686.7	x
      Architectural and town planning technicians	3121	17	536.6	560.4	391.2	460.0	469.1	479.1	504.0	565.6	613.3	631.3	x	x
      Draughtspersons	3122	34	548.8	570.8	334.4	421.6	460.0	479.1	522.1	580.0	640.0	659.9	694.1	x
    Information technology technicians	313	266	540.1	574.8	325.0	383.3	411.7	444.5	497.4	588.0	659.5	694.7	736.0	865.8
      IT operations technicians	3131	120	545.6	582.0	310.1	376.2	403.3	441.9	501.5	595.6	675.1	708.4	758.0	885.5
      IT user support technicians	3132	145	536.6	568.8	326.6	391.3	412.1	444.6	491.3	580.7	644.0	688.1	721.5	853.6
  Health and social care associate professionals	32	341	434.0	427.3	173.4	263.1	306.6	340.6	390.2	473.4	515.2	537.3	562.2	657.7
    Health associate professionals	321	81	477.8	508.8	238.1	342.0	368.9	387.0	435.8	544.1	604.2	660.8	685.7	799.9
      Paramedics	3213	19	694.8	689.8	459.2	560.8	582.8	610.6	675.0	717.9	776.7	797.4	822.5	x
      Dispensing opticians	3216	x	447.9	502.4	x	x	x	402.7	431.8	478.2	x	x	x	x
      Pharmaceutical technicians	3217	22	396.4	401.3	192.3	290.8	320.5	338.7	372.3	435.7	452.8	463.8	504.0	x
